complexity,loss,equation,score,sympy_format,lambda_format
1,0.0025692012,-7.0169763e-9,0.0,-7.01697630000000e-9,PySRFunction(X=>-7.01697630000000E-9)
3,0.00215902,x16 * -0.042578556,0.08697030921757519,x16*(-0.042578556),PySRFunction(X=>x16*(-0.042578556))
5,0.0014394398,(x3 * 0.0004236017) - x12,0.20270020245925424,-x12 + x3*0.0004236017,PySRFunction(X=>-x12 + x3*0.0004236017)
7,0.0009849289,((x3 - x5) * 0.00045561692) - x12,0.1897199166378294,-x12 + (x3 - x5)*0.00045561692,PySRFunction(X=>-x12 + (x3 - x5)*0.00045561692)
9,0.0007158369,((x13 - (x3 * -0.00016607944)) - -0.06432623) * 2.8297913,0.15955855405497504,(x13 - (-0.00016607944)*x3 - 1*(-0.06432623))*2.8297913,PySRFunction(X=>(x13 - (-0.00016607944)*x3 - 1*(-0.06432623))*2.8297913)
11,0.00069352164,(((x13 - (x3 * -0.00033025676)) - -0.057198957) * 1.8122514) - x12,0.015834952205090545,-x12 + (x13 - (-0.00033025676)*x3 - 1*(-0.057198957))*1.8122514,PySRFunction(X=>-x12 + (x13 - (-0.00033025676)*x3 - 1*(-0.057198957))*1.8122514)
13,0.00059706037,(((x12 + 0.17956337) * 14.014871) * (x13 - (x3 * -0.00036317753))) - -0.1522797,0.07488210637369765,(x12 + 0.17956337)*14.014871*(x13 - (-0.00036317753)*x3) - 1*(-0.1522797),PySRFunction(X=>(x12 + 0.17956337)*14.014871*(x13 - (-0.00036317753)*x3) - 1*(-0.1522797))
15,0.00058509427,((x15 - (x3 * -0.00017994945)) - -0.064592816) * (2.3081636 - (x5 * (0.27760682 - x2))),0.010122625504826671,(2.3081636 - x5*(0.27760682 - x2))*(x15 - (-0.00017994945)*x3 - 1*(-0.064592816)),PySRFunction(X=>(2.3081636 - x5*(0.27760682 - x2))*(x15 - (-0.00017994945)*x3 - 1*(-0.064592816)))
17,0.0005843233,sin((2.3375869 - (x5 * (0.27760682 - x2))) * ((x15 - (x3 * -0.00017994945)) - -0.064592816)),0.0006592770037649611,sin((2.3375869 - x5*(0.27760682 - x2))*(x15 - (-0.00017994945)*x3 - 1*(-0.064592816))),PySRFunction(X=>sin((2.3375869 - x5*(0.27760682 - x2))*(x15 - (-0.00017994945)*x3 - 1*(-0.064592816))))
19,0.00058293535,((x15 - (x3 * -0.00017994945)) - -0.06511352) * ((0.98155385 - (((x15 - -0.013891417) * x16) * x5)) * 2.4537663),0.0011890686388431589,(x15 - (-0.00017994945)*x3 - 1*(-0.06511352))*(0.98155385 - x16*x5*(x15 - 1*(-0.013891417)))*2.4537663,PySRFunction(X=>(x15 - (-0.00017994945)*x3 - 1*(-0.06511352))*(0.98155385 - x16*x5*(x15 - 1*(-0.013891417)))*2.4537663)
21,0.0005660457,(0.90032655 + ((7.32248 - (x5 * x16)) * (x15 - -0.017761514))) * (3.0776858 * ((x15 - (-0.00017689503 * x3)) - -0.06417201)),0.01470073563504372,((7.32248 - x16*x5)*(x15 - 1*(-0.017761514)) + 0.90032655)*3.0776858*(x15 - (-1)*0.00017689503*x3 - 1*(-0.06417201)),PySRFunction(X=>((7.32248 - x16*x5)*(x15 - 1*(-0.017761514)) + 0.90032655)*3.0776858*(x15 - (-1)*0.00017689503*x3 - 1*(-0.06417201)))
23,0.0005507891,((x15 - (x3 * -0.00017686612)) - -0.0636762) * (sin(((x15 - -0.019134725) * (8.0714245 - (x5 * x16))) + 0.64120656) * 4.9554253),0.013661419865871154,(x15 - (-0.00017686612)*x3 - 1*(-0.0636762))*sin((8.0714245 - x16*x5)*(x15 - 1*(-0.019134725)) + 0.64120656)*4.9554253,PySRFunction(X=>(x15 - (-0.00017686612)*x3 - 1*(-0.0636762))*sin((8.0714245 - x16*x5)*(x15 - 1*(-0.019134725)) + 0.64120656)*4.9554253)
25,0.0005439666,sin(sin((x13 - -0.018969234) * (8.0714245 - (x5 * x16))) + 0.6278057) * (((x15 - (x3 * -0.00017891872)) - -0.063951835) * 4.9554214),0.006232064674602129,sin(sin((8.0714245 - x16*x5)*(x13 - 1*(-0.018969234))) + 0.6278057)*(x15 - (-0.00017891872)*x3 - 1*(-0.063951835))*4.9554214,PySRFunction(X=>sin(sin((8.0714245 - x16*x5)*(x13 - 1*(-0.018969234))) + 0.6278057)*(x15 - (-0.00017891872)*x3 - 1*(-0.063951835))*4.9554214)
27,0.00054134266,(((x13 - (x3 * -0.00018051076)) - -0.06414164) * sin(sin((5.8406525 - (x5 * x16)) * ((x15 - -0.017148606) * 1.3055071)) + 0.7321752)) * 4.1310377,0.002417693471554134,(x13 - (-0.00018051076)*x3 - 1*(-0.06414164))*sin(sin((5.8406525 - x16*x5)*(x15 - 1*(-0.017148606))*1.3055071) + 0.7321752)*4.1310377,PySRFunction(X=>(x13 - (-0.00018051076)*x3 - 1*(-0.06414164))*sin(sin((5.8406525 - x16*x5)*(x15 - 1*(-0.017148606))*1.3055071) + 0.7321752)*4.1310377)
29,0.00053846283,sin(sin(sin(((4.901805 - (x16 * x5)) * (x13 - -0.017148606)) * 1.4524341)) + 0.7267431) * (((x13 - (x3 * -0.00018075049)) - -0.06422985) * 4.1429944),0.002666995912334298,sin(sin(sin((4.901805 - x16*x5)*(x13 - 1*(-0.017148606))*1.4524341)) + 0.7267431)*(x13 - (-0.00018075049)*x3 - 1*(-0.06422985))*4.1429944,PySRFunction(X=>sin(sin(sin((4.901805 - x16*x5)*(x13 - 1*(-0.017148606))*1.4524341)) + 0.7267431)*(x13 - (-0.00018075049)*x3 - 1*(-0.06422985))*4.1429944)
